config,overdraw,overdraw_ci,exposure,exposure_ci,exposure_p95,utility_frac,utility_frac_ci,exec_pre,exec_burst,exec_post,exec_w0,exec_wlast,n_denied,n_honest_denied,n_reauth,approved_charge,approved_exposure,sibling_exec,frag_moved
e7_sep0.75,0.0,0.0,186129.189815955,1254.0557944479244,202599.66102661085,0.1535627587670447,0.0022893594318247395,0.9865255849175937,0.08984602668603697,0.010758596228928828,0.15356275876704467,0.15356275876704467,123.38666666666667,123.38666666666667,0.0,0.0,0.0,1.0,0.0
e7_sep0.6,0.0,0.0,191155.11536524826,1101.0834972399075,207094.34408813118,0.13518325221988656,0.0016979516034957697,0.9767859478145734,0.07023545388262635,0.010360634717479646,0.13518325221988656,0.13518325221988656,126.08333333333333,126.08333333333333,0.0,0.0,0.0,1.0,0.0
e7_sep0.5,0.0,0.0,195418.16534190293,1070.1969614677216,209572.66882821795,0.12627996317587928,0.0013752492378576436,0.9684917185475629,0.06134235312021416,0.01,0.12627996317587928,0.12627996317587928,127.05,127.05,0.0,0.0,0.0,1.0,0.0
e8_budget_corr,0.5933333333333334,0.055678706699998574,264449.3881816751,6234.491049698081,345197.1658734964,0.20018516810533712,0.002202826879109352,0.9993506732221337,0.14299370623344895,0.00016281737825874534,0.20018516810533712,0.20018516810533712,116.99666666666667,116.99666666666667,0.0,0.0,0.0,1.0,0.0
e8_local_corr,1.0,0.0,1618533.8607947463,17534.818738691392,1862909.5656333694,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
e8_budget_corr_stress,0.0,0.0,166613.8768299719,2366.1498957440476,198067.34757171798,0.14581638989631537,0.002445480259150822,0.9993506732221337,0.07861236709186224,0.003972230510373699,0.14581638989631537,0.14581638989631537,124.57,124.57,0.0,0.0,0.0,1.0,0.0
e8_detect_L0,0.0,0.0,109814.5613344193,4511.85845798156,178777.4118601185,0.10852359709493402,0.0010154334294934708,0.9359067979432744,0.044150409253850734,0.003730682905400245,0.10852359709493402,0.10852359709493402,132.06333333333333,132.06333333333333,0.0,0.0,0.0,1.0,0.0
e8_detect_L5,0.3933333333333333,0.055370178059651276,235818.89206653673,5073.475780319897,303690.5681707904,0.18383994348990862,0.0022737214305868195,0.9980060441152633,0.12311681797160673,0.006179768979395162,0.18383994348990862,0.18383994348990862,120.99333333333334,120.99333333333334,0.0,0.0,0.0,1.0,0.0
e8_detect_L10,0.6133333333333333,0.05519975226006588,258186.6308966353,6300.361255868781,336309.9597075969,0.19565818359333795,0.001931693921196436,0.9980060441152633,0.1376372234496343,0.004613597282673122,0.19565818359333792,0.19565818359333792,119.41,119.41,0.0,0.0,0.0,1.0,0.0
e8_detect_L25,0.6133333333333333,0.05519975226006588,260044.13700082377,6435.0751016549675,342755.47907106986,0.19661423408014905,0.001938876535001449,0.9980060441152633,0.13867349048615463,0.0036336832620670755,0.19661423408014905,0.19661423408014905,119.25,119.25,0.0,0.0,0.0,1.0,0.0
